,TIME,Alt AGL (ft)
827,13:09:59.262,-21.436
828,13:10:00.283,-21.347
829,13:10:01.331,-21.203
830,13:10:02.291,-21.127
831,13:10:03.341,-20.976
832,13:10:04.331,-20.92
833,13:10:05.290,-20.815
834,13:10:06.340,-20.809
835,13:10:07.303,-20.792
836,13:10:08.472,-20.858
837,13:10:09.281,-20.78
838,13:10:10.302,-20.825
839,13:10:11.263,-20.914
840,13:10:12.312,-20.914
842,13:10:14.263,-21.045
843,13:10:15.283,-21.075
845,13:10:17.291,-21.177
846,13:10:18.461,-21.209
847,13:10:19.300,-21.442
848,13:10:20.321,-21.675
849,13:10:21.431,-21.839
850,13:10:22.422,-22.112
851,13:10:23.322,-22.285
852,13:10:24.371,-22.486
853,13:10:25.302,-22.889
854,13:10:26.263,-23.155
855,13:10:27.311,-23.335
856,13:10:28.363,-23.447
857,13:10:29.383,-23.529
858,13:10:30.342,-23.637
859,13:10:31.302,-23.677
860,13:10:32.262,-23.745
861,13:10:33.282,-23.857
862,13:10:34.303,-23.909
863,13:10:35.262,-23.949
864,13:10:36.311,-23.899
865,13:10:38.291,-23.565
866,13:10:39.341,-23.486
867,13:10:40.333,-23.447
868,13:10:41.321,-23.286
869,13:10:42.401,-23.224
870,13:10:43.301,-23.194
871,13:10:44.382,-23.161
872,13:10:45.312,-23.046
873,13:10:46.272,-22.813
875,13:10:48.284,-22.39
876,13:10:49.273,-22.213
880,13:10:53.263,-21.668
884,13:10:57.282,-21.383
885,13:10:58.272,-21.439
889,13:11:02.263,-21.567
891,13:11:04.361,-21.616
894,13:11:07.274,-21.721
895,13:11:08.322,-21.888
896,13:11:09.312,-21.938
897,13:11:10.301,-22.046
899,13:11:12.312,-22.164
900,13:11:13.301,-22.249
902,13:11:15.312,-22.499
906,13:11:19.275,-22.915
908,13:11:21.284,-22.902
911,13:11:24.312,-23.21
912,13:11:25.274,-23.319
913,13:11:26.263,-23.381
914,13:11:27.284,-23.502
915,13:11:28.302,-23.673
917,13:11:30.283,-23.981
919,13:11:32.294,-24.273
921,13:11:34.274,-24.431
933,13:11:46.273,-26.304
936,13:11:49.302,-26.442
937,13:11:50.264,-26.488
938,13:11:51.284,-26.465
939,13:11:52.275,-26.58
940,13:11:53.353,-26.508
941,13:11:54.315,-26.586
942,13:11:55.392,-26.606
943,13:11:56.262,-26.573
944,13:11:57.433,-26.682
946,13:11:59.352,-26.586
947,13:12:00.282,-26.403
948,13:12:01.332,-26.275
949,13:12:02.263,-26.18
950,13:12:03.283,-26.13
951,13:12:04.273,-26.039
952,13:12:05.351,-25.97
953,13:12:06.313,-25.825
954,13:12:07.273,-25.74
955,13:12:08.263,-25.681
956,13:12:09.284,-25.5
957,13:12:10.273,-25.34
958,13:12:11.292,-25.31
959,13:12:12.282,-25.241
960,13:12:13.363,-25.005
961,13:12:14.322,-24.051
962,13:12:15.343,-23.338
963,13:12:16.332,-22.754
965,13:12:18.312,-21.843
966,13:12:19.364,-21.633
967,13:12:20.323,-21.396
968,13:12:21.283,-21.236
969,13:12:22.273,-13.589
970,13:12:23.293,-13.336
971,13:12:24.373,-13.13
972,13:12:25.332,-12.966
974,13:12:27.313,-12.775
975,13:12:28.334,-12.598
976,13:12:29.296,-12.506
978,13:12:31.273,-12.323
979,13:12:32.265,-12.201
980,13:12:33.369,-12.146
981,13:12:34.274,-12.057
982,13:12:35.263,-11.903
983,13:12:36.284,-11.716
984,13:12:37.275,-11.699
985,13:12:38.261,-11.686
986,13:12:39.313,-11.676
987,13:12:40.304,-11.558
988,13:12:41.382,-11.499
989,13:12:42.492,-11.529
990,13:12:43.454,-11.496
992,13:12:45.344,-11.443
993,13:12:46.423,-11.375
994,13:12:47.501,-11.299
995,13:12:48.431,-11.237
997,13:12:50.501,-11.128
999,13:12:52.511,-10.941
1001,13:12:54.373,-10.541
1002,13:12:55.362,-10.312
1004,13:12:57.343,-10.302
1005,13:12:58.423,-10.361
1006,13:12:59.324,-10.275
1007,13:13:00.312,-10.249
1008,13:13:01.304,-10.285
1011,13:13:04.362,-10.279
1013,13:13:06.432,-10.354
1014,13:13:07.423,-10.417
1015,13:13:08.412,-10.512
1016,13:13:09.404,-10.689
1018,13:13:11.295,-11.023
1019,13:13:12.313,-11.194
1020,13:13:13.303,-11.227
1021,13:13:14.473,-11.214
1022,13:13:15.285,-11.06
1023,13:13:16.304,-11.017
1024,13:13:17.294,-11.03
1025,13:13:18.284,-11.053
1026,13:13:19.364,-11.201
1027,13:13:20.264,-11.457
1028,13:13:21.344,-11.614
1029,13:13:22.334,-11.785
1030,13:13:23.324,-11.906
1031,13:13:24.314,-11.936
1032,13:13:25.274,-12.198
1033,13:13:26.323,-12.198
1034,13:13:27.285,-12.27
1035,13:13:28.275,-12.296
1036,13:13:29.322,-12.372
1037,13:13:30.345,-12.421
1038,13:13:31.334,-12.395
1039,13:13:32.324,-12.46
1040,13:13:33.345,-12.533
1041,13:13:34.427,-12.615
1042,13:13:35.413,-12.69
1043,13:13:36.316,-12.657
1044,13:13:37.392,-12.743
1045,13:13:38.294,-12.762
1046,13:13:39.283,-12.808
1047,13:13:40.275,-12.844
1048,13:13:41.354,-12.844
1049,13:13:42.404,-12.946
1050,13:13:43.393,-12.887
1051,13:13:44.294,-12.848
1052,13:13:45.283,-12.838
1053,13:13:46.305,-12.966
1054,13:13:48.493,-13.172
1055,13:13:49.304,-13.291
1056,13:13:50.265,-13.3
1057,13:13:51.373,-13.35
1058,13:13:53.265,-13.389
1059,13:13:54.345,-13.507
1060,13:13:55.334,-13.589
1061,13:13:56.294,-13.77
1062,13:13:57.465,-13.924
1063,13:13:58.273,-14.134
1064,13:13:59.294,-14.216
1065,13:14:00.464,-14.324
1066,13:14:01.364,-14.331
1067,13:14:02.265,-14.334
1068,13:14:03.284,-14.386
1069,13:14:04.482,-14.419
1070,13:14:05.323,-14.55
